"Incident_No","Date_Time_Of_Event","Dispatched_Time","Unit_On_The_Way_Time","Unit_On_Scene_TimeStamp","On_Scene_Unit","Cleared_TimeStamp","Unit_Count","Priority","Final_Incident_Type","Final_Incident_Category","Latitude","Longitude"
"F150019015","1/1/15 12:40 AM","1/1/15 12:41 AM","1/1/15 12:41 AM","1/1/15 12:48 AM","E16","1/1/15 12:55 AM","1","Priority 2","MEDICAL","Medical Only","37.38671692","-121.871034345"
"F150019016","1/1/15 12:41 AM","1/1/15 12:42 AM","1/1/15 12:44 AM","1/1/15 12:49 AM","E2","1/1/15 12:54 AM","1","Priority 1","FIRE & Other","Other Fires","37.363496746","-121.84225245"
"F150019017","1/1/15 12:43 AM","1/1/15 12:44 AM","1/1/15 12:46 AM","1/1/15 12:49 AM","E7","1/1/15 12:56 AM","1","Priority 1","MEDICAL","Medical Only","37.3317452818","-121.915408859"
"F150019018","1/1/15 12:46 AM","1/1/15 12:46 AM","1/1/15 12:48 AM","","","1/1/15 12:55 AM","2","Priority 1","MEDICAL","Uncategorized","37.3120958414","-121.943504256"
"F150019019","1/1/15 12:47 AM","1/1/15 12:47 AM","1/1/15 12:49 AM","1/1/15 12:56 AM","T2","1/1/15 1:03 AM","1","Priority 1","MEDICAL","Medical Only","37.3447603091","-121.8251151"
"F150019020","1/1/15 12:52 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2859523416","-121.979726537"
"F150019021","1/1/15 12:52 AM","1/1/15 12:52 AM","1/1/15 12:55 AM","1/1/15 12:59 AM","E14","1/1/15 1:15 AM","1","Priority 1","MEDICAL","Medical Only","37.2859523416","-121.979726537"
"F150019022","1/1/15 12:51 AM","1/1/15 12:53 AM","1/1/15 12:55 AM","1/1/15 12:59 AM","T16","1/1/15 1:17 AM","1","Priority 1","MEDICAL","Uncategorized","37.3222482939","-121.821418685"
"F150019023","1/1/15 1:04 AM","1/1/15 1:06 AM","1/1/15 1:09 AM","1/1/15 1:15 AM","T35","1/1/15 1:21 AM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.272221099","-121.797950325"
"F150019025","1/1/15 1:06 AM","1/1/15 1:07 AM","1/1/15 1:09 AM","","","1/1/15 1:14 AM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2746459816","-121.863670368"
"F150019026","1/1/15 1:05 AM","1/1/15 1:07 AM","1/1/15 1:09 AM","1/1/15 1:10 AM","E17","1/1/15 1:20 AM","1","Priority 1","MEDICAL","Good Intent Or Service","37.2459192444","-121.887696869"
"F150019027","1/1/15 1:13 AM","1/1/15 1:14 AM","1/1/15 1:14 AM","1/1/15 1:16 AM","E8","1/1/15 1:19 AM","1","Priority 1","MEDICAL","Medical Only","37.3350431895","-121.875404469"
"F150019028","1/1/15 1:21 AM","1/1/15 1:22 AM","1/1/15 1:24 AM","1/1/15 1:29 AM","E9","1/1/15 1:35 AM","1","Priority 2","MEDICAL","Medical Only","37.2827302793","-121.916150907"
"F150019029","1/1/15 1:23 AM","1/1/15 1:24 AM","1/1/15 1:26 AM","1/1/15 1:31 AM","E13","1/1/15 2:01 AM","1","Priority 1","MEDICAL","Medical Only","37.2757423907","-121.854674546"
"F150019030","1/1/15 1:31 AM","1/1/15 1:32 AM","1/1/15 1:35 AM","1/1/15 1:39 AM","T2","1/1/15 2:02 AM","1","Priority 2","FIRE & Other","Rescue, HazMat, USAR & Non - Fire Hazards","37.3603600795","-121.833601256"
"F150019031","1/1/15 1:42 AM","1/1/15 1:42 AM","1/1/15 1:44 AM","1/1/15 1:50 AM","E2","1/1/15 2:03 AM","1","Priority 1","MEDICAL","Uncategorized","37.3774716219","-121.845237315"
"F150019032","1/1/15 1:44 AM","1/1/15 1:45 AM","1/1/15 1:47 AM","1/1/15 1:52 AM","T30","1/1/15 1:55 AM","2","Priority 2","MEDICAL","Good Intent Or Service","37.3321191943","-121.899123441"
"F150019033","1/1/15 1:54 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2950027504","-121.907760685"
"F150019034","1/1/15 1:54 AM","1/1/15 1:55 AM","1/1/15 1:57 AM","1/1/15 1:59 AM","E6","1/1/15 2:14 AM","1","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.2950027504","-121.907760685"
"F150019035","1/1/15 1:55 AM","1/1/15 1:56 AM","1/1/15 1:59 AM","1/1/15 2:04 AM","E1","1/1/15 2:04 AM","1","Priority 1","MEDICAL","Medical Only","37.3352820158","-121.889904851"
"F150019036","1/1/15 2:01 AM","1/1/15 2:02 AM","1/1/15 2:04 AM","1/1/15 2:11 AM","E4","1/1/15 2:25 AM","1","Priority 1","MEDICAL","Medical Only","37.301428506","-121.922858037"
"F150019037","1/1/15 2:17 AM","1/1/15 2:18 AM","1/1/15 2:20 AM","","","1/1/15 2:21 AM","1","Priority 1","MEDICAL","Uncategorized","37.3131313728","-121.948759211"
"F150019038","1/1/15 2:27 AM","1/1/15 2:27 AM","1/1/15 2:29 AM","","","1/1/15 2:34 AM","1","Priority 1","MEDICAL","Uncategorized","37.292728847","-121.850519386"
"F150019039","1/1/15 2:27 AM","1/1/15 2:28 AM","1/1/15 2:30 AM","1/1/15 2:36 AM","E13","1/1/15 2:47 AM","1","Priority 1","MEDICAL","Medical Only","37.289183853","-121.877736488"
"F150019040","1/1/15 2:32 AM","1/1/15 2:32 AM","1/1/15 2:34 AM","","","1/1/15 2:38 AM","1","Priority 1","MEDICAL","Uncategorized","37.3494692672","-121.836154158"
"F150019041","1/1/15 2:32 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3192603318","-122.054483624"
"F150019042","1/1/15 2:35 AM","1/1/15 2:36 AM","1/1/15 2:38 AM","1/1/15 2:42 AM","E3","1/1/15 2:51 AM","1","Priority 1","MEDICAL","Uncategorized","37.3267677371","-121.886335429"
"F150019043","1/1/15 2:41 AM","1/1/15 2:41 AM","1/1/15 2:43 AM","1/1/15 2:48 AM","E18","1/1/15 3:40 AM","1","Priority 1","MEDICAL","Medical Only","37.2787001533","-121.819036034"
"F150019044","1/1/15 2:47 AM","1/1/15 2:48 AM","1/1/15 2:51 AM","1/1/15 2:54 AM","E1","1/1/15 2:54 AM","1","Priority 1","MEDICAL","Uncategorized","37.3386961014","-121.885247646"
"F150019045","1/1/15 2:57 AM","1/1/15 2:58 AM","1/1/15 3:01 AM","1/1/15 3:02 AM","E17","1/1/15 3:03 AM","1","Priority 1","MEDICAL","Medical Only","37.2458131194","-121.887093419"
"F150019046","1/1/15 2:58 AM","1/1/15 2:59 AM","1/1/15 2:59 AM","1/1/15 3:00 AM","E1","1/1/15 3:06 AM","1","Priority 1","MEDICAL","Uncategorized","37.335465532","-121.892054433"
"F150019047","1/1/15 3:06 AM","1/1/15 3:06 AM","1/1/15 3:07 AM","1/1/15 3:09 AM","E17","1/1/15 3:18 AM","1","Priority 1","MEDICAL","Medical Only","37.2458131194","-121.887093419"
"F150019048","1/1/15 3:09 AM","1/1/15 3:10 AM","1/1/15 3:12 AM","1/1/15 3:15 AM","E3","1/1/15 3:25 AM","1","Priority 1","MEDICAL","Uncategorized","37.3257687144","-121.865626294"
"F150019049","1/1/15 3:16 AM","1/1/15 3:18 AM","1/1/15 3:20 AM","1/1/15 3:22 AM","E4","1/1/15 3:25 AM","1","Priority 1","MEDICAL","Medical Only","37.3106874151","-121.930466696"
"F150019051","1/1/15 3:49 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3642201949","-121.817215406"
"F150019052","1/1/15 3:49 AM","1/1/15 3:49 AM","1/1/15 3:51 AM","1/1/15 3:55 AM","E2","1/1/15 4:13 AM","1","Priority 1","MEDICAL","Uncategorized","37.3642201949","-121.817215406"
"F150019053","1/1/15 3:54 AM","1/1/15 3:54 AM","1/1/15 3:57 AM","1/1/15 4:00 AM","E21","1/1/15 4:00 AM","1","Priority 1","MEDICAL","Medical Only","37.3436301654","-121.81150992"
"F150019054","1/1/15 4:05 AM","1/1/15 4:05 AM","1/1/15 4:07 AM","1/1/15 4:10 AM","E4","1/1/15 4:25 AM","1","Priority 1","MEDICAL","Medical Only","37.3101282704","-121.915680491"
"F150019055","1/1/15 4:11 AM","1/1/15 4:12 AM","1/1/15 4:14 AM","1/1/15 4:20 AM","E14","1/1/15 4:22 AM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.2987949457","-121.954460627"
"F150019056","1/1/15 4:11 AM","1/1/15 4:13 AM","1/1/15 4:16 AM","1/1/15 4:22 AM","T14","1/1/15 4:26 AM","1","Priority 2","FIRE & Other","Good Intent Or Service","37.2966089946","-121.958548409"
"F150019057","1/1/15 4:19 AM","1/1/15 4:20 AM","1/1/15 4:23 AM","1/1/15 4:29 AM","T2","1/1/15 4:45 AM","2","Priority 1","MEDICAL","Rescue, HazMat, USAR & Non - Fire Hazards","37.34972343","-121.832913525"
"F150019058","1/1/15 4:29 AM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.3178418512","-121.900417447"
"F150019059","1/1/15 4:30 AM","1/1/15 4:30 AM","1/1/15 4:32 AM","1/1/15 4:36 AM","T30","1/1/15 4:52 AM","2","Priority 1","MEDICAL","Medical Only","37.3323514389","-121.889270364"
"F150019060","1/1/15 4:32 AM","1/1/15 4:35 AM","1/1/15 4:37 AM","1/1/15 4:45 AM","E3","1/1/15 4:56 AM","1","Priority 2","FIRE & Other","Uncategorized","37.3178418512","-121.900417447"
"F150019061","1/1/15 4:34 AM","1/1/15 4:35 AM","1/1/15 4:37 AM","1/1/15 4:43 AM","E2","1/1/15 5:02 AM","1","Priority 1","MEDICAL","Uncategorized","37.3460399304","-121.823421021"
"F150019062","1/1/15 4:47 AM","1/1/15 4:48 AM","1/1/15 4:51 AM","1/1/15 4:53 AM","E1","1/1/15 5:01 AM","1","Priority 2","MEDICAL","Uncategorized","37.3342395442","-121.894634343"
"F150019063","1/1/15 4:50 AM","1/1/15 4:53 AM","1/1/15 4:55 AM","1/1/15 4:59 AM","E29","1/1/15 5:29 AM","1","Priority 1","MEDICAL","Medical Only","37.4136574411","-121.944003582"
"F150019064","1/1/15 5:01 AM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.349509588","-121.904136237"
"F150019065","1/1/15 5:02 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2746668516","-121.933831478"
"F150019066","1/1/15 5:02 AM","1/1/15 5:04 AM","","1/1/15 5:05 AM","E18","1/1/15 5:20 AM","1","Priority 1","MEDICAL","Medical Only","37.2607216454","-121.812881224"
"F150019067","1/1/15 5:10 AM","1/1/15 5:10 AM","1/1/15 5:13 AM","1/1/15 5:18 AM","E11","1/1/15 5:39 AM","1","Priority 1","MEDICAL","Medical Only","37.28898909","-121.74226307"
"F150019068","1/1/15 5:11 AM","1/1/15 5:13 AM","","","","1/1/15 5:15 AM","1","Priority 2","FIRE & Other","No Incident, Wrong Location, Cancelled En Route","37.2966089946","-121.958548409"
"F150019069","1/1/15 5:14 AM","1/1/15 5:17 AM","1/1/15 5:18 AM","1/1/15 5:22 AM","E6","1/1/15 5:31 AM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.3067648158","-121.899866467"
"F150019070","1/1/15 5:22 AM","1/1/15 5:22 AM","1/1/15 5:25 AM","1/1/15 5:26 AM","E1","1/1/15 5:41 AM","1","Priority 1","MEDICAL","Uncategorized","37.335465532","-121.892054433"
"F150019071","1/1/15 5:25 AM","1/1/15 5:27 AM","1/1/15 5:30 AM","1/1/15 5:34 AM","E26","1/1/15 5:46 AM","1","Priority 1","MEDICAL","Medical Only","37.3054386431","-121.849528755"
"F150019072","1/1/15 5:29 AM","1/1/15 5:29 AM","1/1/15 5:31 AM","1/1/15 5:38 AM","E13","1/1/15 6:17 AM","1","Priority 2","MEDICAL","Medical Only","37.2721681124","-121.859303127"
"F150019073","1/1/15 5:31 AM","1/1/15 5:32 AM","1/1/15 5:35 AM","1/1/15 5:40 AM","T35","1/1/15 5:52 AM","1","Priority 2","MEDICAL","Medical Only","37.2497706959","-121.830501028"
"F150019074","1/1/15 5:46 AM","1/1/15 5:48 AM","1/1/15 5:52 AM","1/1/15 5:56 AM","T16","1/1/15 5:59 AM","1","Priority 1","MEDICAL","Uncategorized","37.3335974432","-121.836972997"
"F150019075","1/1/15 5:56 AM","1/1/15 6:00 AM","1/1/15 6:02 AM","1/1/15 6:06 AM","E4","1/1/15 6:20 AM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.3163615221","-121.926756597"
"F150019076","1/1/15 6:05 AM","1/1/15 6:05 AM","1/1/15 6:08 AM","1/1/15 6:12 AM","E15","1/1/15 6:35 AM","1","Priority 1","MEDICAL","Medical Only","37.2936719246","-121.999044397"
"F150019077","1/1/15 6:12 AM","1/1/15 6:14 AM","1/1/15 6:17 AM","1/1/15 6:20 AM","E14","1/1/15 7:00 AM","1","Priority 1","MEDICAL","Uncategorized","37.2950380572","-121.988190232"
"F150019078","1/1/15 6:18 AM","1/1/15 6:19 AM","1/1/15 6:21 AM","1/1/15 6:27 AM","E10","1/1/15 6:28 AM","1","Priority 1","MEDICAL","Uncategorized","37.3015553434","-121.949947794"
"F150019079","1/1/15 6:20 AM","1/1/15 6:21 AM","1/1/15 6:22 AM","1/1/15 6:25 AM","E13","1/1/15 6:32 AM","1","Priority 1","MEDICAL","Medical Only","37.2745191279","-121.854642867"
"F150019080","1/1/15 6:37 AM","1/1/15 6:39 AM","1/1/15 6:41 AM","1/1/15 6:46 AM","E26","1/1/15 6:49 AM","1","Priority 1","FIRE & Other","No Incident, Wrong Location, Cancelled En Route","37.3136480088","-121.860237869"
"F150019081","1/1/15 6:40 AM","1/1/15 6:41 AM","1/1/15 6:42 AM","1/1/15 6:45 AM","T16","1/1/15 7:06 AM","1","Priority 1","MEDICAL","Uncategorized","37.3308188349","-121.831861058"
"F150019082","1/1/15 6:42 AM","1/1/15 6:43 AM","1/1/15 6:45 AM","1/1/15 6:48 AM","E11","1/1/15 7:07 AM","1","Priority 1","MEDICAL","Medical Only","37.3001709215","-121.772176646"
"F150019083","1/1/15 6:50 AM","1/1/15 6:50 AM","1/1/15 6:53 AM","1/1/15 6:57 AM","E7","1/1/15 7:04 AM","1","Priority 1","MEDICAL","Medical Only","37.3313137355","-121.939127659"
"F150019084","1/1/15 6:58 AM","1/1/15 6:59 AM","1/1/15 7:01 AM","1/1/15 7:05 AM","E31","1/1/15 7:19 AM","1","Priority 1","MEDICAL","Medical Only","37.3029288243","-121.774979491"
"F150019085","1/1/15 6:58 AM","1/1/15 7:00 AM","1/1/15 7:00 AM","1/1/15 7:05 AM","T14","1/1/15 7:08 AM","3","Priority 1","FIRE & Other","Uncategorized","37.3201511549","-121.972431616"
"F150019086","1/1/15 6:59 AM","1/1/15 6:59 AM","1/1/15 7:02 AM","1/1/15 7:09 AM","T35","1/1/15 7:15 AM","1","Priority 2","MEDICAL","Good Intent Or Service","37.24696749","-121.808814728"
"F150019087","1/1/15 7:05 AM","1/1/15 7:05 AM","1/1/15 7:07 AM","1/1/15 7:09 AM","E8","1/1/15 9:30 AM","9","Priority 1","FIRE & Other","Structure Fire","37.3401331759","-121.880618302"
"F150019088","1/1/15 7:07 AM","1/1/15 7:08 AM","1/1/15 7:10 AM","1/1/15 7:15 AM","E9","1/1/15 7:19 AM","1","Priority 1","MEDICAL","Medical Only","37.2769196606","-121.915371694"
"F150019090","1/1/15 7:12 AM","1/1/15 7:14 AM","1/1/15 7:16 AM","1/1/15 7:21 AM","E2","1/1/15 7:44 AM","1","Priority 1","MEDICAL","Medical Only","37.3564020262","-121.845379389"
"F150019091","1/1/15 7:20 AM","1/1/15 7:20 AM","1/1/15 7:21 AM","1/1/15 7:26 AM","E17","1/1/15 7:37 AM","1","Priority 1","MEDICAL","Good Intent Or Service","37.2426282002","-121.87716757"
"F150019092","1/1/15 7:31 AM","1/1/15 7:33 AM","1/1/15 7:34 AM","1/1/15 7:41 AM","E22","1/1/15 7:49 AM","2","Priority 1","FIRE & Other","Rescue, HazMat, USAR & Non - Fire Hazards","37.2321963707","-121.878642992"
"F150019093","1/1/15 7:34 AM","1/1/15 7:34 AM","1/1/15 7:36 AM","1/1/15 7:41 AM","E26","1/1/15 7:46 AM","2","Priority 1","MEDICAL","Medical Only","37.3034565607","-121.869969515"
"F150019094","1/1/15 7:39 AM","1/1/15 7:40 AM","1/1/15 7:42 AM","1/1/15 7:45 AM","E29","1/1/15 7:57 AM","5","Priority 1","FIRE & Other","Rescue, HazMat, USAR & Non - Fire Hazards","37.4080654683","-121.937171158"
"F150019095","1/1/15 7:55 AM","1/1/15 7:56 AM","1/1/15 7:58 AM","1/1/15 8:01 AM","CNTT85","1/1/15 8:04 AM","1","Priority 1","MEDICAL","Uncategorized","37.2502472696","-121.946697847"
"F150019096","1/1/15 7:55 AM","1/1/15 7:56 AM","1/1/15 7:58 AM","1/1/15 8:02 AM","E9","1/1/15 8:11 AM","1","Priority 1","MEDICAL","Medical Only","37.268376015","-121.895017347"
"F150019097","1/1/15 8:00 AM","1/1/15 8:01 AM","1/1/15 8:03 AM","1/1/15 8:07 AM","E18","1/1/15 8:36 AM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.2628940643","-121.819384328"
"F150019098","1/1/15 8:09 AM","1/1/15 8:09 AM","1/1/15 8:10 AM","1/1/15 8:14 AM","E1","1/1/15 8:26 AM","1","Priority 1","MEDICAL","Medical Only","37.3361675349","-121.890565843"
"F150019100","1/1/15 8:45 AM","1/1/15 8:46 AM","1/1/15 8:48 AM","","","1/1/15 8:51 AM","1","Priority 2","MEDICAL","Medical Only","37.4089043582","-121.861592739"
"F150019101","1/1/15 8:45 AM","1/1/15 8:46 AM","1/1/15 8:49 AM","1/1/15 8:53 AM","E26","1/1/15 9:22 AM","2","Priority 1","MEDICAL","Good Intent Or Service","37.2929448906","-121.850739934"
"F150019102","1/1/15 8:49 AM","1/1/15 8:50 AM","1/1/15 8:52 AM","1/1/15 8:55 AM","E5","1/1/15 9:07 AM","1","Priority 2","MEDICAL","Medical Only","37.361520619","-121.88883854"
"F150019103","1/1/15 8:55 AM","1/1/15 8:56 AM","1/1/15 8:57 AM","","","1/1/15 9:02 AM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.3641915268","-121.849085548"
"F150019104","1/1/15 8:55 AM","1/1/15 8:56 AM","1/1/15 8:58 AM","1/1/15 9:03 AM","E8","1/1/15 9:16 AM","1","Priority 1","MEDICAL","Medical Only","37.3524398392","-121.871484762"
"F150019105","1/1/15 8:52 AM","1/1/15 8:58 AM","1/1/15 8:59 AM","1/1/15 9:04 AM","E4","1/1/15 9:09 AM","2","Priority 1","FIRE & Other","False Alarm / False Call","37.3146140426","-121.931820287"
"F150019106","1/1/15 8:59 AM","1/1/15 9:00 AM","1/1/15 9:02 AM","1/1/15 9:07 AM","S26","1/1/15 9:08 AM","2","Priority 1","MEDICAL","Medical Only","37.3169885497","-121.844382609"
"F150019107","1/1/15 9:08 AM","1/1/15 9:09 AM","1/1/15 9:10 AM","1/1/15 9:15 AM","E14","1/1/15 9:29 AM","1","Priority 2","MEDICAL","Medical Only","37.3051508281","-121.963732478"
"F150019108","1/1/15 9:11 AM","1/1/15 9:11 AM","1/1/15 9:13 AM","1/1/15 9:20 AM","E6","1/1/15 9:38 AM","1","Priority 1","MEDICAL","Medical Only","37.288494611","-121.918032978"
"F150019109","1/1/15 9:15 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.3607996383","-121.822175216"
"F150019110","1/1/15 9:15 AM","1/1/15 9:15 AM","1/1/15 9:16 AM","1/1/15 9:19 AM","E2","1/1/15 9:34 AM","1","Priority 1","MEDICAL","Medical Only","37.3607996383","-121.822175216"
"F150019111","1/1/15 9:14 AM","1/1/15 9:15 AM","1/1/15 9:17 AM","1/1/15 9:22 AM","E3","1/1/15 9:47 AM","1","Priority 1","MEDICAL","Medical Only","37.3106309732","-121.878470704"
"F150019113","1/1/15 9:36 AM","1/1/15 9:37 AM","1/1/15 9:38 AM","1/1/15 9:43 AM","E6","1/1/15 10:16 AM","2","Priority 2","MEDICAL","Medical Only","37.2980633961","-121.920682234"
"F150019114","1/1/15 9:39 AM","1/1/15 9:40 AM","1/1/15 9:41 AM","1/1/15 9:48 AM","E21","1/1/15 9:57 AM","1","Priority 2","MEDICAL","Medical Only","37.3361197468","-121.797680139"
"F150019115","1/1/15 9:46 AM","1/1/15 9:48 AM","1/1/15 9:49 AM","","","1/1/15 10:03 AM","2","Priority 1","FIRE & Other","Good Intent Or Service","37.3295124011","-121.897170376"
"F150019116","1/1/15 9:48 AM","","","","","","0","Priority 1","FIRE & Other","Uncategorized","37.3009171863","-121.976721993"
"F150019117","1/1/15 9:48 AM","1/1/15 9:50 AM","1/1/15 9:51 AM","1/1/15 9:54 AM","E14","1/1/15 11:05 AM","4","Priority 1","FIRE & Other","Structure Fire","37.3009171863","-121.976721993"
"F150019118","1/1/15 9:49 AM","1/1/15 9:49 AM","1/1/15 9:50 AM","1/1/15 9:55 AM","E12","1/1/15 10:23 AM","1","Priority 1","MEDICAL","Medical Only","37.2319727717","-121.835067953"
"F150019119","1/1/15 9:51 AM","1/1/15 9:52 AM","1/1/15 9:53 AM","1/1/15 9:58 AM","E18","1/1/15 10:20 AM","1","Priority 1","MEDICAL","Medical Only","37.2559504065","-121.838575106"
"F150019120","1/1/15 9:56 AM","1/1/15 9:56 AM","1/1/15 9:57 AM","1/1/15 10:00 AM","E4","1/1/15 10:13 AM","1","Priority 1","MEDICAL","Medical Only","37.2953727401","-121.900518054"
"F150019122","1/1/15 9:57 AM","1/1/15 10:00 AM","1/1/15 10:00 AM","1/1/15 10:09 AM","E9","1/1/15 11:13 AM","12","Priority 1","FIRE & Other","Structure Fire","37.2987949457","-121.954460627"
"F150019123","1/1/15 9:59 AM","1/1/15 10:03 AM","1/1/15 10:05 AM","","","1/1/15 10:14 AM","1","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.3158933728","-121.975944304"
"F150019126","1/1/15 10:04 AM","1/1/15 10:06 AM","1/1/15 10:07 AM","1/1/15 10:12 AM","E19","1/1/15 10:37 AM","2","Priority 1","MEDICAL","Medical Only","37.3818720366","-121.835546971"
"F150019127","1/1/15 10:11 AM","1/1/15 10:12 AM","1/1/15 10:14 AM","1/1/15 10:20 AM","E31","1/1/15 10:37 AM","1","Priority 1","MEDICAL","Medical Only","37.3043938136","-121.776348044"
"F150019128","1/1/15 10:14 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2987949457","-121.954460627"
"F150019129","1/1/15 10:14 AM","","","","","","0","Priority 1","MEDICAL","Uncategorized","37.2987949457","-121.954460627"
"F150019130","1/1/15 10:24 AM","1/1/15 10:24 AM","1/1/15 10:25 AM","1/1/15 10:30 AM","E6","1/1/15 10:40 AM","1","Priority 1","MEDICAL","Medical Only","37.2955256358","-121.891693242"
"F150019131","1/1/15 10:26 AM","1/1/15 10:26 AM","1/1/15 10:28 AM","1/1/15 10:32 AM","E2","1/1/15 11:06 AM","1","Priority 1","MEDICAL","Medical Only","37.3561305784","-121.82847795"
"F150019132","1/1/15 10:32 AM","1/1/15 10:32 AM","1/1/15 10:35 AM","1/1/15 10:39 AM","E8","1/1/15 10:55 AM","1","Priority 1","MEDICAL","Medical Only","37.3439673297","-121.858224671"
"F150019133","1/1/15 10:36 AM","1/1/15 10:36 AM","1/1/15 10:39 AM","","","1/1/15 10:43 AM","2","Priority 2","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2943214318","-121.857563238"
"F150019134","1/1/15 10:42 AM","1/1/15 10:42 AM","1/1/15 10:43 AM","1/1/15 10:48 AM","S26","1/1/15 10:49 AM","2","Priority 1","MEDICAL","No Incident, Wrong Location, Cancelled En Route","37.2915583362","-121.873819003"
"F150019135","1/1/15 10:47 AM","1/1/15 10:47 AM","1/1/15 10:48 AM","1/1/15 10:51 AM","E13","1/1/15 11:35 AM","2","Priority 1","MEDICAL","Medical Only","37.257577374","-121.862756688"
"F150019136","1/1/15 10:52 AM","1/1/15 10:52 AM","1/1/15 10:54 AM","1/1/15 10:57 AM","E24","1/1/15 11:14 AM","2","Priority 1","MEDICAL","Medical Only","37.3135431496","-121.812598985"
"F150019137","1/1/15 10:55 AM","1/1/15 10:56 AM","1/1/15 10:57 AM","1/1/15 10:56 AM","E8","1/1/15 10:58 AM","1","Priority 1","FIRE & Other","Good Intent Or Service","37.3437695797","-121.85855892"
